competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo
202003;3;35;353060;G;4781400;1;371410;101;6;17;44;1;1;0;1;20;0;0;0;1471;3;0;1;202011;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;3;49;44;2;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;24;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;N;7719599;1;782515;101;7;36;44;3;1;0;1;20;0;0;0;1790.9;3;0;1;202003;202202;1;0
202003;3;35;355030;N;8211300;1;514120;101;7;62;44;1;1;0;1;10;0;0;0;1500;2;0;1;202007;202202;1;1
202003;4;41;410830;C;1091102;-1;513205;101;1;42;44;1;3;0;1;31;0;0;0;1355;1;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;4;24;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;40;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;63;44;2;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;39;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;2;29;293210;Q;8610102;1;517410;101;7;31;40;3;1;0;1;20;0;0;0;1045;9;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;7;36;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;350920;N;7810800;-1;782220;101;7;50;44;1;1;0;1;31;0;0;0;1800;3;0;1;202008;202202;1;1
202003;5;52;521250;G;4754701;1;771105;101;7;37;44;3;1;0;1;20;0;0;0;2400;4;0;1;202003;202202;1;0
202003;2;26;261160;P;8520100;1;231320;101;80;36;10;1;3;0;1;20;0;0;0;945;1;0;1;202003;202202;1;0
202003;3;35;350920;N;7810800;-1;391215;101;7;21;44;1;1;0;1;31;0;0;0;1690;3;0;1;202008;202202;1;1
202003;2;26;261160;P;8520100;1;234624;101;9;43;4;1;3;0;1;20;0;0;0;525;1;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;7;51;44;2;3;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;38;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;1;12;120040;Q;8630503;1;223605;101;9;26;25;3;3;0;1;20;0;0;0;1760;4;0;1;202003;202202;1;0
202003;2;23;230440;C;2512800;1;724315;101;7;20;8;3;1;0;1;20;0;0;0;1100;1;0;1;202007;202202;1;1
202003;3;35;355030;P;8512100;1;234664;101;9;30;44;1;3;0;1;20;0;0;0;2000;1;0;1;202007;202202;1;1
202003;3;35;353870;H;4930201;1;519110;101;7;25;44;1;1;0;1;20;0;0;0;1212.2;3;0;1;202003;202202;1;0
202003;1;11;110028;N;8211300;-1;422105;101;7;40;44;6;3;0;1;40;0;0;0;1062;10;0;1;202003;202202;1;0
202003;3;35;350950;C;2599399;-1;782510;101;5;67;44;3;1;0;1;40;0;0;0;2376;5;0;1;202003;202202;1;0
202003;4;43;430535;P;8520100;1;231210;101;9;32;1;6;3;0;1;20;0;0;0;134.2;5;0;1;202102;202202;1;1
202003;4;43;430535;P;8520100;1;231210;101;9;32;4;6;3;0;1;20;0;0;0;372.2;5;0;1;202102;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;46;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;6;41;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;Q;8800600;1;411005;101;7;19;36;3;1;0;1;20;0;0;0;897;7;0;1;202003;202202;1;0
202003;2;29;292740;F;4211101;1;717020;101;7;30;44;3;1;0;1;20;0;0;0;1126.4;7;0;1;202003;202202;1;0
202003;2;29;293210;Q;8610102;1;414105;101;9;41;40;1;3;0;1;20;0;0;0;1045;9;0;1;202003;202202;1;0
202003;2;29;293210;Q;8610102;1;411010;101;8;22;40;2;1;0;1;20;0;0;0;1045;9;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;-1;622110;101;7;38;44;1;1;2;3;40;0;0;0;1300;99;0;1;202006;202202;1;1
202003;3;35;353980;F;4330405;1;715210;101;6;25;0;6;1;0;1;10;0;0;9;1514;2;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;7;45;44;1;3;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;354870;N;7820500;1;414110;106;7;29;44;1;1;0;1;20;0;0;0;1442;8;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;7;24;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;31;310620;Q;8630504;1;252305;101;7;40;44;3;3;0;1;20;0;0;0;1388.46;1;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;5;62;44;3;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;4;41;410830;C;1091102;1;782305;101;7;54;44;1;1;0;1;20;0;0;0;1492;1;0;1;202003;202202;1;0
202003;4;43;430535;P;8520100;1;231210;101;9;46;7;6;3;0;1;20;0;0;0;635.6;5;0;1;202005;202202;1;1
202003;1;13;130260;L;6810202;1;411005;101;7;50;48;1;3;0;1;20;0;0;0;1045;1;0;1;202005;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;49;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;P;8512100;1;331105;101;9;32;44;1;3;0;1;20;0;0;0;2533;1;0;1;202007;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;5;47;44;1;3;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;38;44;1;1;2;3;20;0;0;0;1300;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;26;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;2;26;261160;P;8520100;1;231310;101;80;44;11;1;1;0;1;20;0;0;0;1039.5;1;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;7;32;44;2;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;350920;N;7810800;-1;784205;101;7;34;44;1;1;0;1;31;0;0;0;1690;3;0;1;202008;202202;1;1
202003;2;26;261160;P;8520100;1;231310;101;9;37;1;3;1;0;1;20;0;0;0;94.5;1;0;1;202003;202202;1;0
202003;1;13;130260;I;5611201;-1;513405;101;4;27;44;6;3;0;1;31;0;0;0;1045;5;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;5;50;44;1;3;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;1;11;110028;N;8211300;-1;514320;101;7;29;44;6;1;0;1;31;0;0;0;1239;10;0;1;202003;202202;1;0
202003;2;26;261160;P;8520100;1;231335;101;9;34;2;1;1;0;1;20;0;0;0;262.5;1;0;1;202003;202202;1;0
202003;2;29;292740;P;8512100;-1;231105;101;7;43;20;3;3;0;1;31;0;0;0;680;1;0;1;202103;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;5;32;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;5;50;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;2;23;230440;C;2512800;1;724315;101;7;38;8;3;1;0;1;20;0;0;0;1100;1;0;1;202007;202202;1;1
202003;2;23;230440;P;8513900;1;231205;101;9;54;40;3;3;0;1;20;0;0;0;1045;3;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;5;50;44;2;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;5;58;44;2;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;56;44;2;3;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;21;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;353060;G;4781400;1;371410;101;7;22;44;1;3;0;1;20;0;0;0;1471;3;0;1;202011;202202;1;1
202003;3;35;354870;N;7820500;1;414110;106;7;21;44;1;1;0;1;20;0;0;0;1544.73;8;0;1;202003;202202;1;0
202003;1;11;110028;N;8211300;-1;514325;101;5;46;44;6;1;0;1;31;0;0;0;2302.73;10;0;1;202003;202202;1;0
202003;4;43;430920;G;4772500;-1;521115;101;5;46;44;1;3;0;1;31;0;0;0;1260;2;0;1;202003;202202;1;0
202003;2;23;230970;G;4729602;1;421125;101;7;31;8;3;3;0;1;20;0;0;0;1112;1;0;1;202003;202202;1;0
202003;3;35;355030;A;111399;-1;622505;102;7;18;44;1;1;2;3;43;0;0;0;1264.52;99;0;1;202102;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;6;55;44;2;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
